ko	rxn	ModelSeed_ID
K18333	R13105	
K26355	R13136	
K01630	R02754	rxn01990
K01630	R03277	rxn02346
K13877	R00264	rxn00196
K13877	R11768	
K19588	R00264	rxn00196
K19588	R11768	
K22187	R00264	rxn00196
K22187	R11768	
K18237	R10555	rxn10594
K05349	R02897	rxn02074
K05349	R13081	
K05350	R02897	rxn02074
K05350	R13081	
K13080	R06820	rxn04635
K13080	R13064	
K05989	R06820	rxn04635
K05989	R13064	
K26177	R13084	
K26177	R13083	
K00484	R05705	rxn03974
K00484	R05706	rxn03975
K22393	R05705	rxn03974
K22393	R05706	rxn03975
K22394	R05705	rxn03974
K22394	R05706	rxn03975
K23462	R05705	rxn03974
K23462	R05706	rxn03975
K23470	R05705	rxn03974
K23470	R05706	rxn03975
K00299	R05705	rxn03974
K00299	R05706	rxn03975
K19285	R05705	rxn03974
K19285	R05706	rxn03975
K19286	R05705	rxn03974
K19286	R05706	rxn03975
K20146	R05705	rxn03974
K20146	R05706	rxn03975
K00794	R04457	rxn03080
K26211	R02147	rxn01548
K26212	R02147	rxn01548
K18931	R10837	
K18931	R10838	
K18931	R10836	
K00757	R01876	rxn01366
K21056	R11535	
K21056	R13089	
K26208	R11535	
K26208	R13089	
K26210	R13090	
K01636	R12696	
K26176	R13066	
K26178	R13073	
K22906	R02901	rxn02077
K26176	R13069	
K26178	R13072	
K22906	R13082	
K13263	R07720	rxn07534
K13263	R13051	
K05349	R07720	rxn07534
K05349	R13051	
K05350	R07720	rxn07534
K05350	R13051	
K26069	R13054	
K26175	R13055	
K26070	R13056	
K26071	R13057	
K13225	R07422	rxn05131
K26063	R13036	
K25986	R13011	
K22434	R11912	
K14130	R01657	rxn01212
K22435	R11933	
K22436	R11935	
K22436	R11936	
K22435	R08480	rxn12125
K18884	R10166	rxn21759
K17746	R10128	rxn40023
K19182	R12090	
K19183	R10163	rxn40052
K19184	R10200	rxn40077
K14135	R10201	rxn40078
K12696	R05855	rxn04086
K21895	R05885	rxn04114
K22365	R11810	
K22323	R11777	
K21896	R04013	rxn02819
K12697	R05857	rxn04088
K12698	R03230	rxn02311
K15775	R08830	rxn13960
K26037	R13032	
K15777	R08836	rxn01494
K15776	R08816	rxn14249
K15774	R08822	rxn14075
K26038	R08824	rxn13970
K07415	R07046	rxn04852
K07418	R07046	rxn04852
K07422	R07046	rxn04852
K07425	R07046	rxn04852
K17721	R07046	rxn04852
K17728	R07046	rxn04852
K18684	R07040	rxn04846
K18684	R07039	rxn04845
K05361	R07034	rxn04840
K05361	R07035	rxn04841
K07413	R07043	rxn04849
K07418	R07043	rxn04849
K17718	R07043	rxn04849
K13223	R07403	rxn05113
K13224	R07421	rxn05130
K13226	R07423	rxn05132
K13227	R07426	rxn05135
K13229	R08972	rxn14081
K13230	R08973	rxn14217
K01782	R05305	rxn03617
K01825	R05305	rxn03617
K07516	R05305	rxn03617
K09829	R07497	rxn07328
K01019	R12960	
K01019	R12961	
K01134	R12960	
K01134	R12961	
K00725	R12962	
K00725	R12963	
K12373	R12962	
K12373	R12963	
K25598	R12943	
K25563	R12912	
K25594	R12928	
K25562	R12907	
K25597	R12947	
K21181	R11366	
K00660	R12915	
K25584	R12954	
K24871	R12703	
K17835	R10469	rxn40262
K00798	R12184	
K19221	R12184	
K01767	R12946	
K01935	R12934	
K19562	R12934	
K01935	R12933	
K19562	R12933	
K01435	R01077	rxn00795
K11540	R00484	rxn00341
K11540	R01397	rxn01018
K11541	R00484	rxn00341
K11541	R01397	rxn01018
K00609	R00484	rxn00341
K00609	R01397	rxn01018
K00610	R00484	rxn00341
K00610	R01397	rxn01018
K00608	R00484	rxn00341
K00608	R01397	rxn01018
K01924	R03193	rxn02286
K25496	R12857	
K03186	R11225	
K21254	R11412	
K20422	R11125	
K15320	R07253	rxn07218
K25517	R12894	
K09128	R12894	
K06981	R10093	rxn20839
K00938	R03245	rxn02322
