pw_ID	pw_name	C_ID	C_name
map01100	Metabolic pathways	C08308	Hordatine B
map01100	Metabolic pathways	C05324	Nicotianamine
map01100	Metabolic pathways	C15647	2-Acyl-1-(1-alkenyl
map01100	Metabolic pathways	C16221	(2E
map01100	Metabolic pathways	C16220	(3R
map01100	Metabolic pathways	C16219	3-Oxostearoyl-[acp]
map01100	Metabolic pathways	C03752	2-Amino-2-deoxy-D-gluconate
map01100	Metabolic pathways	C16755	Aflatoxin G1
map01100	Metabolic pathways	C20583	Versicolorin A
map01100	Metabolic pathways	C15685	Protomycinolide IV
map01100	Metabolic pathways	C02953	7,8-Dihydrobiopterin
map01100	Metabolic pathways	C20612	GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose
map01100	Metabolic pathways	C20613	GDP-beta-L-colitose
map01100	Metabolic pathways	C16358	1-Methylxanthine
map01100	Metabolic pathways	C07130	Theophylline
map01100	Metabolic pathways	C05442	Stigmasterol
map01100	Metabolic pathways	C20413	3,5,7-Trioxododecanoyl-CoA
map01100	Metabolic pathways	C22225	(S
map01100	Metabolic pathways	C20668	3-Dehydro-D-glucose 6-phosphate
map01100	Metabolic pathways	C22102	Staphyloferrin A
map01100	Metabolic pathways	C21559	N-[(2S
map01100	Metabolic pathways	C06715	3-Oxopimeloyl-CoA
map01100	Metabolic pathways	C06582	2-Hydroxy-6-oxo-7-methylocta-2,4-dienoate
map01100	Metabolic pathways	C00261	Benzaldehyde
map01100	Metabolic pathways	C01841	Pentalenene
map01100	Metabolic pathways	C20953	3-[(4R
map01100	Metabolic pathways	C21570	4-Methoxy-2,2'-bipyrrole-5-carbaldehyde
map01100	Metabolic pathways	C21124	IPA imine
map01100	Metabolic pathways	C19687	7-Chloro-L-tryptophan
map01100	Metabolic pathways	C00842	dTDP-glucose
map01100	Metabolic pathways	C18333	7,9,12-Decaketide intermediate 4
map01100	Metabolic pathways	C12348	3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]
map01100	Metabolic pathways	C02657	6-Methylsalicylate
map01100	Metabolic pathways	C21357	3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp]
map01100	Metabolic pathways	C11993	10-Deoxymethynolide
map01100	Metabolic pathways	C11997	Narbonolide
map01100	Metabolic pathways	C11989	8,8a-Deoxyoleandolide
map01100	Metabolic pathways	C20737	6-Geranylgeranyl-2-methylbenzene-1,4-diol
map01100	Metabolic pathways	C15973	Enzyme N6-(dihydrolipoyl
map01100	Metabolic pathways	C02050	Linoleoyl-CoA
map01100	Metabolic pathways	C00440	5-Methyltetrahydrofolate
map01100	Metabolic pathways	C01594	Linamarin
map01100	Metabolic pathways	C05332	Phenethylamine
map01100	Metabolic pathways	C03063	2-Oxohept-3-enedioate
map01100	Metabolic pathways	C05600	2-Hydroxyhepta-2,4-dienedioate
map01100	Metabolic pathways	C04052	5-Carboxy-2-oxohept-3-enedioate
map01100	Metabolic pathways	C02727	N6-Acetyl-L-lysine
map01100	Metabolic pathways	C05535	alpha-Aminoadipoyl-S-acyl enzyme
map01100	Metabolic pathways	C06174	Codeine
map01100	Metabolic pathways	C06171	Codeinone
map01100	Metabolic pathways	C00046	RNA
map01100	Metabolic pathways	C01444	Oxamate
map01100	Metabolic pathways	C01380	Ethylene glycol
map01100	Metabolic pathways	C00546	Methylglyoxal
map01100	Metabolic pathways	C02970	Decaprenol phosphate
map01100	Metabolic pathways	C20247	2-(2-Carboxy-4-methylthiazol-5-yl
map01100	Metabolic pathways	C03785	D-Tagatose 1,6-bisphosphate
map01100	Metabolic pathways	C00463	Indole
map01100	Metabolic pathways	C00110	Dolichyl phosphate
map01100	Metabolic pathways	C00157	Phosphatidylcholine
map01100	Metabolic pathways	C00189	Ethanolamine
map01100	Metabolic pathways	C00114	Choline
map01100	Metabolic pathways	C00195	N-Acylsphingosine
map01100	Metabolic pathways	C00187	Cholesterol
map01100	Metabolic pathways	C00280	Androstenedione
map01100	Metabolic pathways	C00156	4-Hydroxybenzoate
map01100	Metabolic pathways	C00227	Acetyl phosphate
map01100	Metabolic pathways	C00259	L-Arabinose
map01100	Metabolic pathways	C00006	NADP+
map01100	Metabolic pathways	C00135	L-Histidine
map01100	Metabolic pathways	C00010	CoA
map01100	Metabolic pathways	C00032	Heme
map01100	Metabolic pathways	C00194	Cobamide coenzyme
map01100	Metabolic pathways	C00250	Pyridoxal
map01100	Metabolic pathways	C00018	Pyridoxal phosphate
map01100	Metabolic pathways	C00015	UDP
map01100	Metabolic pathways	C00075	UTP
map01100	Metabolic pathways	C00063	CTP
map01100	Metabolic pathways	C00112	CDP
map01100	Metabolic pathways	C00055	CMP
map01100	Metabolic pathways	C00214	Thymidine
map01100	Metabolic pathways	C00129	Isopentenyl diphosphate
map01100	Metabolic pathways	C00052	UDP-alpha-D-galactose
map01100	Metabolic pathways	C01011	(3S
map01100	Metabolic pathways	C00136	Butanoyl-CoA
map01100	Metabolic pathways	C00231	D-Xylulose 5-phosphate
map01100	Metabolic pathways	C00279	D-Erythrose 4-phosphate
map01100	Metabolic pathways	C00239	dCMP
map01100	Metabolic pathways	C00254	Prephenate
map01100	Metabolic pathways	C00011	CO2
map01100	Metabolic pathways	C00235	Dimethylallyl diphosphate
map01100	Metabolic pathways	C00197	3-Phospho-D-glycerate
map01100	Metabolic pathways	C00160	Glycolate
map01100	Metabolic pathways	C00058	Formate
map01100	Metabolic pathways	C00236	3-Phospho-D-glyceroyl phosphate
map01100	Metabolic pathways	C00118	D-Glyceraldehyde 3-phosphate
map01100	Metabolic pathways	C00085	D-Fructose 6-phosphate
map01100	Metabolic pathways	C00117	D-Ribose 5-phosphate
map01100	Metabolic pathways	C00199	D-Ribulose 5-phosphate
map01100	Metabolic pathways	C00231	D-Xylulose 5-phosphate
map01100	Metabolic pathways	C00132	Methanol
map01100	Metabolic pathways	C00080	H+
map01100	Metabolic pathways	C00232	Succinate semialdehyde
map01100	Metabolic pathways	C00152	L-Asparagine
map01100	Metabolic pathways	C00258	D-Glycerate
