pw_ID	pw_name	KO	EC	Reaction
map01100	Metabolic pathways	['K00605']	[' 2.1.2.10']	['R04125']
map01100	Metabolic pathways	['K00605']	[' 2.1.2.10']	['R04125']
map01100	Metabolic pathways	['K00605']	[' 2.1.2.10']	['R04125']
map01100	Metabolic pathways	['K12960']	[' 3.5.4.28']	['R00193']
map01100	Metabolic pathways	['K01566']	['K01566 (E3.13.1.9)', ' 3.13.1.9']	['R12588']
map01100	Metabolic pathways	['K05526']	[' 3.5.1.96']	['R00411']
map01100	Metabolic pathways	['K01580']	['K01580 (E4.1.1.15)', ' 4.1.1.15']	['R00261']
map01100	Metabolic pathways	['K09698']	[' 6.1.1.24']	['R03651']
map01100	Metabolic pathways	['K01915', 'K01425', 'K23265', 'K05597']	[' 3.5.1.2', ' 3.5.1.38', ' 6.3.1.2']	['R00253', 'R00256']
map01100	Metabolic pathways	['K01915', 'K01425', 'K23265', 'K05597']	[' 3.5.1.2', ' 3.5.1.38', ' 6.3.1.2']	['R00253', 'R00256']
map01100	Metabolic pathways	['K00294', 'K13821']	['K00294 (E1.2.1.88)', ' 1.2.1.88']	['R00245', 'R13148']
map01100	Metabolic pathways	['K00382']	[' 1.8.1.4']	['R03815']
map01100	Metabolic pathways	['K00281', 'K00282', 'K00283']	[' 1.4.4.2']	['R03425']
map01100	Metabolic pathways	['K00281', 'K00282', 'K00283']	[' 1.4.4.2']	['R03425']
map01100	Metabolic pathways	['K22569']	[' 4.2.3.211']	['R13104']
map01100	Metabolic pathways	['K21295']	[' 1.14.14.184']	['R13117']
map01100	Metabolic pathways	['K22570']	[' 1.14.11.82']	['R13122']
map01100	Metabolic pathways	['K22571']	[' 2.1.1.387']	['R13123']
map01100	Metabolic pathways	['K22572']	[' 1.1.1.437']	['R13106']
map01100	Metabolic pathways	['K18333']	['K18333 (E1.1.1.435)', ' 1.1.1.435']	['R13105']
map01100	Metabolic pathways	['K26355']	[' 1.3.1.125']	['R13136']
map01100	Metabolic pathways	['K01630']	[' 4.1.2.20']	['R02754']
map01100	Metabolic pathways	['K01630']	[' 4.1.2.20']	['R03277']
map01100	Metabolic pathways	['K13877', 'K19588', 'K22187']	[' 1.2.1.26']	['R00264', 'R11768']
map01100	Metabolic pathways	['K18237', 'K18237']	[' 5.3.1.29']	['R10555']
map01100	Metabolic pathways	['K05349', 'K05350']	[' 2.4.1.185', ' 3.2.1.21']	['R02897', 'R13081']
map01100	Metabolic pathways	['K13080', 'K05989']	[' 2.4.1.236', ' 3.2.1.40']	['R06820', 'R13064']
map01100	Metabolic pathways	['K26177']	[]	['R13084']
map01100	Metabolic pathways	['K26177']	[]	['R13083']
