KO	Modelseed_reaction
K10046	rxn07487	
K10046	rxn07488	
K10046	rxn31753
K10047	rxn28001	
K10047	rxn28169
K10047	rxn30897	
K10047	rxn33628	
K22026	rxn00365
K22026	rxn19878	
K22026	rxn32633	
K11381	rxn06031
K11381	rxn07433	
K11381	rxn07435	
K11381	rxn30541	
K11381	rxn31250	
K11381	rxn35549	
K11381	rxn35551	
K11381	rxn35553	
K11381	rxn35554	
K11389	rxn07191
K11358	rxn30355	
K11358	rxn32253	
K11358	rxn33295	
K11358	rxn33740	
K11358	rxn34671
K11358	rxn37937	
K11358	rxn38254	
K10027	rxn06792	
K10027	rxn16537	
K10027	rxn16538	
K10027	rxn31261	
K10027	rxn31452
K22002	rxn01606
K22003	rxn01606
K12694	rxn04106
K09065	rxn05012
K12693	rxn15432
K12696	rxn17095
K12695	rxn04112
K12695	rxn15420	
K12692	rxn15429
K12698	rxn02311
K12697	rxn04088
K12699	rxn04101
K22013	rxn31902
K22013	rxn35377	
K22011	rxn37661
K12661	rxn02676
K12660	rxn01619
K13990	rxn01641
K13990	rxn01654	
K13990	rxn02283	
K09011	rxn31994
K11337	rxn15925
K11334	rxn15923	
K11334	rxn15930
K12665	rxn11900
K12665	rxn11902	
K11333	rxn15923	
K11333	rxn15930
K12664	rxn11900
K12664	rxn11902	
K13998	rxn01601	
K13998	rxn01602	
K13998	rxn12649	
K13998	rxn14120	
K13998	rxn30104	
K13998	rxn32434	
K13998	rxn32556
K11336	rxn15924	
K11336	rxn15929
K13995	rxn02523
K11335	rxn15923	
K11335	rxn15930
K00672	rxn02431
K00673	rxn33032
K09007	rxn00302	
K09007	rxn03174	
K09007	rxn03419
K09007	rxn03421	
K00678	rxn11897	
K00678	rxn11899
K00679	rxn06901
K00677	rxn06729
K00674	rxn03031
K10011	rxn07473	
K10011	rxn07475
K12674	rxn03764
K10012	rxn07476
K12673	rxn03762
K12676	rxn03658
K12675	rxn03763	
K12675	rxn03765
K12675	rxn03766	
K12677	rxn14321
K00660	rxn31420	
K00660	rxn31514	
K00660	rxn31540	
K00660	rxn31541	
K00660	rxn31542
K00669	rxn02084
K00667	rxn31254	
K00667	rxn31255	
K00667	rxn31256	
K00667	rxn31257	
K00667	rxn31276	
K00667	rxn37965	
K00667	rxn38482	
K00667	rxn38484
K00667	rxn38485	
