Kegg_ID	ModelSeed_ID	formula	charge
C00001	cpd00001	H2O	0
C01328	cpd00001	H2O	0
C00002	cpd00002	C10H13N5O13P3	-3
C00003	cpd00003	C21H26N7O14P2	-1
C00004	cpd00004	C21H27N7O14P2	-2
C00005	cpd00005	C21H26N7O17P3	-4
C00006	cpd00006	C21H25N7O17P3	-3
C00007	cpd00007	O2	0
G11113	cpd00008	C10H13N5O10P2	-2
C00008	cpd00008	C10H13N5O10P2	-2
C00009	cpd00009	HO4P	-2
C00010	cpd00010	C21H32N7O16P3S	-4
C00011	cpd00011	CO2	0
C00013	cpd00012	HO7P2	-3
C01342	cpd00013	H4N	1
C00014	cpd00013	H4N	1
G10619	cpd00014	C9H12N2O12P2	-2
C00015	cpd00014	C9H12N2O12P2	-2
C00016	cpd00015	C27H31N9O15P2	-2
C00018	cpd00016	C8H8NO6P	-2
C00019	cpd00017	C15H23N6O5S	1
C00020	cpd00018	C10H12N5O7P	-2
C00021	cpd00019	C14H20N6O5S	0
C00022	cpd00020	C3H3O3	-1
C00023	cpd00021	Fe	0
C00024	cpd00022	C23H34N7O17P3S	-4
C00025	cpd00023	C5H8NO4	-1
C00026	cpd00024	C5H4O5	-2
C00027	cpd00025	H2O2	0
G10608	cpd00026	C15H22N2O17P2	-2
C00029	cpd00026	C15H22N2O17P2	-2
C00031	cpd00027	C6H12O6	0
C00293	cpd00027	C6H12O6	0
C00032	cpd00028	C34H30FeN4O4	-2
C00033	cpd00029	C2H3O2	-1
C19610	cpd00030	Mn	2
G10620	cpd00031	C10H13N5O11P2	-2
C00035	cpd00031	C10H13N5O11P2	-2
C00036	cpd00032	C4H2O5	-2
C00037	cpd00033	C2H5NO2	0
C00038	cpd00034	Zn	2
C00041	cpd00035	C3H7NO2	0
C00042	cpd00036	C4H4O4	-2
G10610	cpd00037	C17H25N3O17P2	-2
C00043	cpd00037	C17H25N3O17P2	-2
C00044	cpd00038	C10H13N5O14P3	-3
C00047	cpd00039	C6H15N2O2	1
C00048	cpd00040	C2HO3	-1
C00049	cpd00041	C4H6NO4	-1
C00051	cpd00042	C10H16N3O6S	-1
G10609	cpd00043	C15H22N2O17P2	-2
C00052	cpd00043	C15H22N2O17P2	-2
C00053	cpd00044	C10H11N5O13P2S	-4
C00054	cpd00045	C10H11N5O10P2	-4
C00055	cpd00046	C9H12N3O8P	-2
G10621	cpd00046	C9H12N3O8P	-2
C00058	cpd00047	CHO2	-1
C00059	cpd00048	O4S	-2
C00060	cpd00049	CO2R	-1
C00061	cpd00050	C17H19N4O9P	-2
C00062	cpd00051	C6H15N4O2	1
C00063	cpd00052	C9H13N3O14P3	-3
C00064	cpd00053	C5H10N2O3	0
C00065	cpd00054	C3H7NO3	0
C00067	cpd00055	CH2O	0
C00068	cpd00056	C12H17N4O7P2S	-1
C00069	cpd00057	HOR	0
C00072	cpd00059	C6H7O6	-1
C00073	cpd00060	C5H11NO2S	0
C00074	cpd00061	C3H2O6P	-3
C00075	cpd00062	C9H12N2O15P3	-3
C00076	cpd00063	Ca	2
C00077	cpd00064	C5H13N2O2	1
C00078	cpd00065	C11H12N2O2	0
C00079	cpd00066	C9H11NO2	0
C00080	cpd00067	H	1
C00081	cpd00068	C10H12N4O14P3	-3
C00082	cpd00069	C9H11NO3	0
C00083	cpd00070	C24H33N7O19P3S	-5
C00084	cpd00071	C2H4O	0
C00085	cpd00072	C6H11O9P	-2
C00086	cpd00073	CH4N2O	0
C00087	cpd00074	S	0
C00088	cpd00075	HNO2	0
G00370	cpd00076	C12H22O11	0
C00089	cpd00076	C12H22O11	0
C01785	cpd00077	C6H6O2	0
C00090	cpd00077	C6H6O2	0
C15571	cpd00077	C6H6O2	0
C00091	cpd00078	C25H35N7O19P3S	-5
C00092	cpd00079	C6H11O9P	-2
C00093	cpd00080	C3H7O6P	-2
C00094	cpd00081	HO3S	-1
C11481	cpd00081	HO3S	-1
C00095	cpd00082	C6H12O6	0
C00096	cpd00083	C16H23N5O16P2	-2
G10614	cpd00083	C16H23N5O16P2	-2
C00097	cpd00084	C3H7NO2S	0
C00099	cpd00085	C3H7NO2	0
C00100	cpd00086	C24H36N7O17P3S	-4
C00101	cpd00087	C19H21N7O6	-2
C00102	cpd00088	C12H7Cl2NO2	0
C00103	cpd00089	C6H11O9P	-2
C00104	cpd00090	C10H12N4O11P2	-2
C00105	cpd00091	C9H11N2O9P	-2
C00106	cpd00092	C4H4N2O2	0
C00108	cpd00093	C7H6NO2	-1
C00109	cpd00094	C4H5O3	-1
C00111	cpd00095	C3H5O6P	-2
C00112	cpd00096	C9H13N3O11P2	-2
C00113	cpd00097	C14H3N2O8	-3
C00114	cpd00098	C5H14NO	1
C00698	cpd00099	Cl	-1
C01327	cpd00099	Cl	-1
C00116	cpd00100	C3H8O3	0
C00117	cpd00101	C5H9O8P	-2
C00118	cpd00102	C3H5O6P	-2
C00119	cpd00103	C5H9O14P3	-4
C00120	cpd00104	C10H15N2O3S	-1
C00121	cpd00105	C5H10O5	0
C00122	cpd00106	C4H2O4	-2
C00123	cpd00107	C6H13NO2	0
C00124	cpd00108	C6H12O6	0
C00125	cpd00109	C42H42FeN8O8R4S2	-1
C00126	cpd00110	C42H42FeN8O8R4S2	-2
C00127	cpd00111	C20H30N6O12S2	-2
G10616	cpd00112	C20H29N4O16P	-2
C00128	cpd00112	C20H29N4O16P	-2
C00129	cpd00113	C5H10O7P2	-2
C00130	cpd00114	C10H11N4O8P	-2
C00131	cpd00115	C10H13N5O12P3	-3
C00132	cpd00116	CH4O	0
C00133	cpd00117	C3H7NO2	0
C00134	cpd00118	C4H14N2	2
C00135	cpd00119	C6H9N3O2	0
C00136	cpd00120	C25H38N7O17P3S	-4
C00137	cpd00121	C6H12O6	0
C00140	cpd00122	C8H15NO6	0
C00141	cpd00123	C5H7O3	-1
C00143	cpd00125	C20H21N7O6	-2
C00144	cpd00126	C10H12N5O8P	-2
C00146	cpd00127	C6H6O	0
C15584	cpd00127	C6H6O	0
C00147	cpd00128	C5H5N5	0
C00148	cpd00129	C5H9NO2	0
C00149	cpd00130	C4H4O5	-2
C00152	cpd00132	C4H8N2O3	0
C00153	cpd00133	C6H6N2O	0
C00154	cpd00134	C37H62N7O17P3S	-4
C00155	cpd00135	C4H9NO2S	0
C00156	cpd00136	C7H5O3	-1
C00158	cpd00137	C6H5O7	-3
C00159	cpd00138	C6H12O6	0
C00160	cpd00139	C2H3O3	-1
C00163	cpd00141	C3H5O2	-1
C00164	cpd00142	C4H5O3	-1
C00166	cpd00143	C9H7O3	-1
C00167	cpd00144	C15H19N2O18P2	-3
G10612	cpd00144	C15H19N2O18P2	-3
C00168	cpd00145	C3H3O4	-1
C00169	cpd00146	CH2NO5P	-2
C00170	cpd00147	C11H15N5O3S	0
C01992	cpd00148	C5H8O7PR	-2
C00171	cpd00148	C5H8O7PR	-2
C00175	cpd00149	Co	2
C01326	cpd00150	CHN	0
C00177	cpd00150	CHN	0
C00178	cpd00151	C5H6N2O2	0
C00179	cpd00152	C5H16N4	2
C00180	cpd00153	C7H5O2	-1
C00539	cpd00153	C7H5O2	-1
C00181	cpd00154	C5H10O5	0
G11603	cpd00155	C24H42O21	0
C00182	cpd00155	C24H42O21	0
C00183	cpd00156	C5H11NO2	0
C00184	cpd00157	C3H6O3	0
C00185	cpd00158	C12H22O11	0
G00289	cpd00158	C12H22O11	0
C00186	cpd00159	C3H5O3	-1
C00187	cpd00160	C27H46O	0
C00188	cpd00161	C4H9NO3	0
C00189	cpd00162	C2H8NO	1
G10613	cpd00163	C14H20N2O16P2	-2
C00190	cpd00163	C14H20N2O16P2	-2
C00191	cpd00164	C6H9O7	-1
C00192	cpd00165	H3NO	0
C00194	cpd00166	C72H100CoN18O17P	0
C00195	cpd00167	C19H36NO3R	0
C00196	cpd00168	C7H5O4	-1
C00197	cpd00169	C3H4O7P	-3
C00198	cpd00170	C6H10O6	0
C00199	cpd00171	C5H9O8P	-2
C00200	cpd00172	C14H14N2O4S	0
C00201	cpd00173	C5H9O13P3R	-3
C00202	cpd00174	C6H14FO3P	0
C00203	cpd00175	C17H25N3O17P2	-2
G10611	cpd00175	C17H25N3O17P2	-2
C00204	cpd00176	C6H9O6	-1
C00206	cpd00177	C10H13N5O9P2	-2
C00207	cpd00178	C3H6O	0
C01971	cpd00179	C12H22O11	0
G00275	cpd00179	C12H22O11	0
C00208	cpd00179	C12H22O11	0
C00209	cpd00180	C2O4	-2
C00210	cpd00181	C53H82CoN11O14PR2	3
C00212	cpd00182	C10H13N5O4	0
C00213	cpd00183	C3H7NO2	0
C00214	cpd00184	C10H14N2O5	0
C00216	cpd00185	C5H10O5	0
C00217	cpd00186	C5H8NO4	-1
C00218	cpd00187	CH6N	1
C00219	cpd00188	C20H31O2	-1
C00220	cpd00189	C16H18ClN3S	0
C00221	cpd00190	C6H12O6	0
C00222	cpd00191	C3H3O3	-1
C00223	cpd00192	C30H38N7O18P3S	-4
C00224	cpd00193	C10H12N5O10PS	-2
C00225	cpd00194	C12H14Cl2N2	0
C00226	cpd00195	CH3OR	0
C00227	cpd00196	C2H3O5P	-2
C00230	cpd00197	C7H5O4	-1
C00231	cpd00198	C5H9O8P	-2
C00232	cpd00199	C4H5O3	-1
C00233	cpd00200	C6H9O3	-1
C00234	cpd00201	C20H21N7O7	-2
C00235	cpd00202	C5H10O7P2	-2
C00236	cpd00203	C3H4O10P2	-4
C00237	cpd00204	CHO	1
C00238	cpd00205	K	1
C00239	cpd00206	C9H12N3O7P	-2
C00242	cpd00207	C5H5N5O	0
G10504	cpd00208	C12H22O11	0
C06373	cpd00208	C12H22O11	0
C00243	cpd00208	C12H22O11	0
C00244	cpd00209	NO3	-1
C00245	cpd00210	C2H7NO3S	0
C00246	cpd00211	C4H7O2	-1
C00247	cpd00212	C6H12O6	0
C00248	cpd00213	C8H15NOS2	0
C00249	cpd00214	C16H31O2	-1
C00250	cpd00215	C8H9NO3	0
C00251	cpd00216	C10H8O6	-2
C00252	cpd00217	C12H22O11	0
G01318	cpd00217	C12H22O11	0
C00253	cpd00218	C6H4NO2	-1
C00254	cpd00219	C10H8O6	-2
C00255	cpd00220	C17H19N4O6	-1
C00256	cpd00221	C3H5O3	-1
C00257	cpd00222	C6H11O7	-1
C00258	cpd00223	C3H5O4	-1
C00259	cpd00224	C5H10O5	0
C00261	cpd00225	C7H6O	0
C00193	cpd00225	C7H6O	0
C00262	cpd00226	C5H4N4O	0
C00263	cpd00227	C4H9NO3	0
C00265	cpd00228	C4H10O2S2	0
C00266	cpd00229	C2H4O2	0
C00268	cpd00231	C9H13N5O3	0
C00270	cpd00232	C11H18NO9	-1
C00272	cpd00233	C9H15N5O3	0
C00273	cpd00234	C6H10O6	0
C00275	cpd00235	C6H11O9P	-2
C00279	cpd00236	C4H7O7P	-2
C00280	cpd00237	C19H26O2	0
C05382	cpd00238	C7H13O10P	-2
C00283	cpd00239	HS	-1
C00284	cpd00240	C10H13N2O8	-3
C00286	cpd00241	C10H13N5O13P3	-3
C00288	cpd00242	CHO3	-1
C01353	cpd00242	CHO3	-1
C00290	cpd00243	C5H12N3O2	1
C19609	cpd00244	Ni	2
C00291	cpd00244	Ni	2
C00292	cpd00245	C6H7N	0
C00294	cpd00246	C10H12N4O5	0
C00295	cpd00247	C5H3N2O4	-1
C00296	cpd00248	C7H11O6	-1
C00299	cpd00249	C9H12N2O6	0
C00300	cpd00250	C4H9N3O2	0
C00301	cpd00251	C15H21N5O14P2	-2
C00303	cpd00253	C5H10N2O3	0
C00305	cpd00254	Mg	2
C00306	cpd00255	C50H75N15O11	2
C00307	cpd00256	C14H25N4O11P2	-1
C00308	cpd00257	C5H13N4O3	1
C00309	cpd00258	C5H10O5	0
C00310	cpd00259	C5H10O5	0
C00311	cpd00260	C6H5O7	-3
C00312	cpd00261	C5H10O5	0
C00313	cpd00262	C23H31N7O19P3S	-5
C00314	cpd00263	C8H11NO3	0
C00315	cpd00264	C7H22N3	3
C00317	cpd00265	C30H52O26	0
G11610	cpd00265	C30H52O26	0
C00318	cpd00266	C7H15NO3	0
C00319	cpd00267	C18H38NO2	1
C05529	cpd00268	HO3S2	-1
C00320	cpd00268	HO3S2	-1
C00322	cpd00269	C6H6O5	-2
C00323	cpd00270	C30H38N7O19P3S	-4
C00324	cpd00271	C6FeN6	-3
G10615	cpd00272	C16H23N5O15P2	-2
C00325	cpd00272	C16H23N5O15P2	-2
C00326	cpd00273	C28H47N5O18	0
C00327	cpd00274	C6H13N3O3	0
C00328	cpd00275	C10H12N2O3	0
C00329	cpd00276	C6H14NO5	1
C00330	cpd00277	C10H13N5O4	0
C00331	cpd00278	C11H8NO3	-1
C00332	cpd00279	C25H36N7O18P3S	-4
C00333	cpd00280	C6H9O7	-1
C00334	cpd00281	C4H9NO2	0
C00337	cpd00282	C5H5N2O4	-1
C00341	cpd00283	C10H18O7P2	-2
C00345	cpd00284	C6H10O10P	-3
C00346	cpd00285	C2H7NO4P	-1
C00348	cpd00286	C55H89O4P	-2
C00349	cpd00287	C4H5O3	-1
C00352	cpd00288	C6H13NO8P	-1
C00353	cpd00289	C20H34O7P2	-2
C00354	cpd00290	C6H10O12P2	-4
