,fluxes
PMMO,30.0
MeDH,30.0
FAE,0.0
MTD,0.0
MCH,0.0
FTR,0.0
FWDf,0.0
FWD,0.0
FDH,0.000672626862111606
H6PS,30.0
H6PI,30.0
MDH,-13.501318601413827
MACOAli,14.07716559263438
MLCOAly,14.07716559263438
ACS,0.0
SPT_syn,0.0
GLYCK2,0.0
PGCD,0.0
PSERT,0.0
PSP_L,0.0
GHMT1,0.0
BFBP,0.0
G6PI3,0.0007313833005428165
G6PI_1,0.0007313833005428165
G6PBDH,5.1973789037006006e-05
PGL,5.1973789037006006e-05
GND,0.0
EDD,1.0191354630380726e-06
EDA,0.0
PFKppi,9.83126032532303
FBA,9.83092061632812
TKT1,-9.960548883712631
TKT2,10.169050917415202
TALA,9.960548883712631
RPI,9.872544855653992
RPE,-20.12959980112783
AH6PI,0.0
RU5PS,0.0
TPI,9.775302891295636
GAPD,9.472948479877905
PGK,9.472948479877905
PGM,9.470910208951828
ENO,9.470910208951828
PYK,0.0
POR_syn,0.0
GLUKA,0.0
GLUK_syn,0.0
PGCM,0.0
PPDK,26.391680289114213
PPS,-35.424514943354154
ALCD2x,0.0
ALCD2y,0.0
PDHa1,0.0
PDHa2,0.0
PDHbr,0.0
LDP,12.461501119275537
PC,0.0
CS,12.962445585355951
ACONTa,12.962105876361042
ACONTb,12.962105876361042
ICDHx,12.962105876361042
r0422,0.0
r0082,0.0
AKGDa1,12.461501119275537
AKGDa2,12.461501119275537
AKGDb,12.461501119275537
SUCOAS,1.7613318582462998
SUCDH,14.077056885416878
FUM,12.563713924548933
XYLOR,0.0
GDH1,-15.993601780045672
GLUSy,0.0
NO3R3,18.30646271702713
NTRIR2x,0.0
NTRIR2y,2.7150796730633058
NITR_NO,15.591383043963825
NORZpp,7.7956915219819125
HAMR,4.924101835342151
AMMO,4.924101835342151
NIT1b,0.0
CYNL,0.0
HCO3E,1.093413952216364
PUNP3,0.0
GK1,0.027439589648286297
NTPP11,0.0
NTPP2,0.0
DADK,0.0
ADK1,-25.633708416204552
GUAD,0.0
HXPRT,0.027439589648286297
IMPD,0.027439589648286297
GMPS2,0.0
ADNK1,0.0
GPAR,0.0
IMPC,0.0
GUAC,0.0
3NUCLE4,0.0
NTD8,0.0
NTD10,0.0
AP4AH,0.0
RNDR1,0.0
NDPK10,0.0
PUNP5,0.027439589648286297
RNDR2,0.0
NDPK8,0.0
PPGPPDP,0.0
GDTP,0.0
GART,0.0
ADNCYC,0.0
DGK1,0.0
NTD7,0.027439589648286297
NTD6,0.0
GMPS,0.027439589648286297
PDE1,0.0
ADPT,0.0
PUNP7,0.0
AIRC3,0.0
ADPT2,0.0
XPPT,0.0
NTPP10,0.0
NDPK5,0.0
PPRGL,0.0
ADA,0.027439589648286297
PUNP1,0.0
NTD11,0.0
NTPP9,0.0
GTPDPK,0.0
NTPP6,0.0
PRASCSi,0.0
NDPK9,0.0
NTD9,0.0
NDPK1,0.027439589648286297
ADSL2r,0.0
3NUCLE1,0.0
UREA,0.0
ADSS,0.0
ADSL1r,0.0
GLUPRT,0.0
AICART,0.0
SADT,0.0
ADSK,0.0
NDP9,0.0
ADPRDP,0.0
PPM,0.027439589648286297
PRPPS,0.11544361770692689
AIRC4,0.0
FGAMCL,0.0
NTPTP1,0.0
ASPCT,0.05120900292625062
CBPS,0.15444092670605655
TMDS,0.010979413706869964
OMPDC,0.05120900292625065
RNDR4,0.0
PYNP1,0.0
CTPS2,0.025604501463125325
DHORDfum,1.6162351756528464
NDPK6,0.0
3NUCLE3,0.0
NTPP4,0.0
URIDK2r,0.0
NTD2,0.0
NDPK2,0.08859835771180782
3NUCLE2,0.0
RNDR3,0.0
CSND,0.0
