,fluxes
PMMO,30.0
MeDH,30.0
FAE,0.0
MTD,0.0
MCH,0.0
FTR,0.0
FWDf,1.25
FWD,1.25
FDH,1.25
H6PS,30.0
H6PI,30.0
MDH,0.0
MACOAli,17.5
MLCOAly,17.5
ACS,0.0
SPT_syn,0.0
GLYCK2,0.0
PGCD,0.0
PSERT,0.0
PSP_L,0.0
GHMT1,0.0
BFBP,0.0
G6PI3,0.0
G6PI_1,0.0
G6PBDH,0.0
PGL,0.0
GND,0.0
EDD,0.0
EDA,0.0
PFKppi,10.0
FBA,10.0
TKT1,-10.0
TKT2,10.0
TALA,10.0
RPI,10.0
RPE,-20.0
AH6PI,0.0
RU5PS,0.0
TPI,10.0
GAPD,10.0
PGK,10.0
PGM,10.0
ENO,10.0
PYK,0.0
POR_syn,1.25
GLUKA,0.0
GLUK_syn,0.0
PGCM,0.0
PPDK,8.660714285714285
PPS,-6.517857142857142
ALCD2x,0.0
ALCD2y,0.0
PDHa1,0.0
PDHa2,0.0
PDHbr,0.0
LDP,9.375
PC,0.0
CS,9.375
ACONTa,9.375
ACONTb,9.375
ICDHx,9.375
r0422,0.0
r0082,0.0
AKGDa1,9.375
AKGDa2,9.375
AKGDb,9.375
SUCOAS,8.125
SUCDH,17.5
FUM,12.142857142857142
XYLOR,0.0
GDH1,-20.267857142857142
GLUSy,0.0
NO3R3,17.142857142857142
NTRIR2x,0.0
NTRIR2y,0.0
NITR_NO,17.142857142857142
NORZpp,8.571428571428571
HAMR,5.0
AMMO,5.0
NIT1b,0.0
CYNL,0.0
HCO3E,5.535714285714285
PUNP3,0.0
GK1,0.0
NTPP11,0.0
NTPP2,0.0
DADK,0.0
ADK1,-8.660714285714285
GUAD,0.0
HXPRT,0.0
IMPD,0.0
GMPS2,0.0
ADNK1,0.0
GPAR,0.0
IMPC,0.0
GUAC,0.0
3NUCLE4,0.0
NTD8,0.0
NTD10,0.0
AP4AH,0.0
RNDR1,0.0
NDPK10,0.0
PUNP5,0.0
RNDR2,0.0
NDPK8,0.0
PPGPPDP,0.0
GDTP,0.0
GART,0.0
ADNCYC,0.0
DGK1,0.0
NTD7,0.0
NTD6,0.0
GMPS,0.0
PDE1,0.0
ADPT,0.0
PUNP7,0.0
AIRC3,0.0
ADPT2,0.0
XPPT,0.0
NTPP10,0.0
NDPK5,0.0
PPRGL,0.0
ADA,0.0
PUNP1,0.0
NTD11,0.0
NTPP9,0.0
GTPDPK,0.0
NTPP6,0.0
PRASCSi,0.0
NDPK9,0.0
NTD9,0.0
NDPK1,0.0
ADSL2r,0.0
3NUCLE1,0.0
UREA,0.0
ADSS,0.0
ADSL1r,0.0
GLUPRT,0.0
AICART,0.0
SADT,0.0
ADSK,0.0
NDP9,0.0
ADPRDP,0.0
PPM,0.0
PRPPS,0.0
AIRC4,0.0
FGAMCL,0.0
NTPTP1,0.0
ASPCT,0.0
CBPS,2.7678571428571423
TMDS,0.0
OMPDC,0.0
RNDR4,0.0
PYNP1,0.0
CTPS2,0.0
DHORDfum,8.125
NDPK6,0.0
3NUCLE3,0.0
NTPP4,0.0
URIDK2r,0.0
NTD2,0.0
NDPK2,0.0
3NUCLE2,0.0
RNDR3,0.0
CSND,0.0
UPPRT,0.0
UMPK,0.0
NTD1,0.0
NDPK4,0.0
NTD5,0.0
DCTPD,0.0
CYTK1,0.0
DUTPDP,0.0
PYNP2r,0.0
NDPK3,0.0
NTPP8,0.0
CTPS1,0.0
DHORTS,0.0
NTD3,0.0
DTMPK,0.0
NTD4,0.0
NDPK7,0.0
NTPP7,0.0
ORPT,0.0
TMDPP,0.0
CYTK2,0.0
MCSNAH,0.0
DHORD_NAD,-8.125
