,fluxes
Starch_synthesis,0.0
Starch_degredation,0.0
Rspont2,0.014586094725354062
RPG161161,0.0004033078769559358
RPG161140,0.00027300840901632584
RPG160161,0.0006390878665609445
RPE161161,0.002574965675949437
RPE161140,0.0007321589150892374
RPE160161,0.0027673125095745753
RPC161161,0.00018614209705658578
RPC161140,0.00019234683362513862
RPC160161,0.00018614209705658578
RCL161161,6.20473656855286e-05
RCL161140,6.825210225408146e-05
RCL160161,6.20473656855286e-05
RC08362,0.011832432636230303
R11096,0.0
R11025,0.0
R11024,0.0
R10994,0.0
R10993,0.0
R10991,0.0
R10907,-0.0009927578509684575
R10866,0.035968857887900926
R10859,0.035968857887900926
R10712,0.0
R10707,0.02157386904885829
R10221,3.906213329329907
R10164,0.0
R10151,0.0
R10147,0.02133684811193957
R10124,0.0
R10122,0.0
R10121,0.0
R10120,0.0
R10119,0.0
R10118,0.0
R10117,0.0
R10116,0.0
R10115,0.0
R10092,0.1602899018133154
R10040,0.0
R10039,0.0
R10035,0.0
R10002,0.0
R09978,0.0
R09959,0.0
R09780,0.0
R09771,0.0
R09769,0.0
R09725,0.0
R09668,0.0
R09660,0.0
R09543,0.0
R09518,6.8462677280025215
R09394,0.0
R09380,0.0
R09372,0.0
R09365,0.0
R09248,0.0
R09128,0.0
R09127,-6.8462677280025215
R09107,0.0
R09099,0.0
R09082,0.0
R09081,0.0
R09030,0.0
R08968,0.0
R08781,0.0
R08775,0.0
R08774,0.0
R08773,0.0
R08769,0.0
R08716,0.0
R08689,0.0
R08676,0.0
R08648,0.019149057997867834
R08639,-0.00581756100667516
R08575,-0.9824213982009516
R08549,0.030323558982578498
R08359,0.0
R08210,0.004957584518273736
R08060,0.7018888660092155
R08059,0.0
R08058,0.0
R08042,0.0
R08034,0.0
R07773,0.0
R07765,0.0
R07764,0.0
R07763,0.0
R07762,0.0
R07639,0.0
R07605,0.0
R07507,0.0
R07499,0.00032885103813330154
R07498,0.0
R07493,0.0
R07488,0.0
R07463,0.0
R07412,0.0
R07411,0.0
R07410,0.0
R07407,0.0002983311799001155
R07405,0.015142499265158371
R07404,0.015142499265158371
R07395,0.0
R07392,0.0
R07364,0.0
R07363,0.0
R07323,0.0
R07322,0.0
R07302,0.0
R07281,6.563370342215215e-05
R07280,3.2816851711076075e-05
R07268,0.0
R07168,0.01068060395385386
R07136,0.0
R07035,0.0
R07034,0.0
R06927,0.0
R06917,0.0
R06895,0.0
R06859,0.0
R06783,0.0
R06782,0.0
R06558,0.0
R06529,0.0
R06514,0.0
R06513,0.0
R06447,0.0026370130416349656
R06146,0.0
R05884,0.03101127336962719
R05838,0.0
R05815,0.0
R05814,0.0
R05810,0.0
R05809,0.0
