NEWgene	NEWtag	refgene	reftag	oldtag
lcl|AP027149.1_cds_BDV36749.1_2	DSM21852_00020	NZ_CP019948.1_cds_WP_158658644.1_1350	B1812_RS06990	B1812_07015
lcl|AP027149.1_cds_BDV36750.1_3	DSM21852_00030	NZ_CP019948.1_cds_WP_085770954.1_1351	B1812_RS06995	B1812_07020
lcl|AP027149.1_cds_BDV36751.1_4	DSM21852_00040	NZ_CP019948.1_cds_WP_085770955.1_1352	B1812_RS07000	B1812_07025
lcl|AP027149.1_cds_BDV36752.1_5	DSM21852_00050	NZ_CP019948.1_cds_WP_158658645.1_1353	B1812_RS07005	B1812_07030
lcl|AP027149.1_cds_BDV36753.1_6	DSM21852_00060	NZ_CP019948.1_cds_WP_085770957.1_1354	B1812_RS07010	B1812_07035
lcl|AP027149.1_cds_BDV36754.1_7	DSM21852_00070	NZ_CP019948.1_cds_WP_085770958.1_1355	B1812_RS07015	B1812_07040
lcl|AP027149.1_cds_BDV36755.1_8	DSM21852_00080	NZ_CP019948.1_cds_WP_085770959.1_1356	B1812_RS07020	B1812_07045
lcl|AP027149.1_cds_BDV36756.1_9	DSM21852_00090	NZ_CP019948.1_cds_WP_085770069.1_3004	B1812_RS15605	B1812_15685
lcl|AP027149.1_cds_BDV36756.1_9	DSM21852_00090	NZ_CP019948.1_cds_WP_085770069.1_1357	B1812_RS07025	B1812_07050
lcl|AP027149.1_cds_BDV36756.1_9	DSM21852_00090	NZ_CP019948.1_cds_WP_085770069.1_337	B1812_RS01760	B1812_01760
lcl|AP027149.1_cds_BDV36756.1_9	DSM21852_00090	NZ_CP019948.1_cds_WP_085771383.1_1843	B1812_RS09535	B1812_09580
lcl|AP027149.1_cds_BDV36757.1_10	DSM21852_00100	NZ_CP019948.1_cds_WP_085770960.1_1358	B1812_RS07030	B1812_07055
lcl|AP027149.1_cds_BDV36758.1_11	DSM21852_00110	NZ_CP019948.1_cds_WP_085770961.1_1359	B1812_RS07035	B1812_07060
lcl|AP027149.1_cds_BDV36760.1_13	DSM21852_00130	NZ_CP019948.1_cds_WP_085770963.1_1360	B1812_RS07045	B1812_07070
lcl|AP027149.1_cds_BDV36760.1_13	DSM21852_00130	NZ_CP019948.1_cds_WP_085770696.1_1080	B1812_RS05530	B1812_05555
lcl|AP027149.1_cds_BDV36761.1_14	DSM21852_00140	NZ_CP019948.1_cds_WP_085770964.1_1361	B1812_RS07050	B1812_07075
lcl|AP027149.1_cds_BDV36762.1_15	DSM21852_00150	NZ_CP019948.1_cds_WP_085770965.1_1362	B1812_RS07055	B1812_07080
lcl|AP027149.1_cds_BDV36763.1_16	DSM21852_00160	NZ_CP019948.1_cds_WP_085770966.1_1363	B1812_RS07060	B1812_07085
lcl|AP027149.1_cds_BDV36763.1_16	DSM21852_00160	NZ_CP019948.1_cds_WP_245300290.1_71	B1812_RS23215	
lcl|AP027149.1_cds_BDV36764.1_17	DSM21852_00170	NZ_CP019948.1_cds_WP_085770966.1_1363	B1812_RS07060	B1812_07085
lcl|AP027149.1_cds_BDV36765.1_18	DSM21852_00180	NZ_CP019948.1_cds_WP_085770967.1_1364	B1812_RS07065	B1812_07090
lcl|AP027149.1_cds_BDV36766.1_19	DSM21852_00190	NZ_CP019948.1_cds_WP_085770968.1_1365	B1812_RS07070	B1812_07095
lcl|AP027149.1_cds_BDV36767.1_20	DSM21852_00200	NZ_CP019948.1_cds_WP_085770969.1_1366	B1812_RS07075	B1812_07100
lcl|AP027149.1_cds_BDV36768.1_21	DSM21852_00210	NZ_CP019948.1_cds_WP_085770970.1_1367	B1812_RS07080	B1812_07105
lcl|AP027149.1_cds_BDV36769.1_22	DSM21852_00220	NZ_CP019948.1_cds_WP_085770971.1_1368	B1812_RS07085	B1812_07110
lcl|AP027149.1_cds_BDV36770.1_23	DSM21852_00230	NZ_CP019948.1_cds_WP_085770972.1_1369	B1812_RS07090	B1812_07115
lcl|AP027149.1_cds_BDV36771.1_24	DSM21852_00240	NZ_CP019948.1_cds_WP_245300115.1_1370	B1812_RS07095	B1812_07120
lcl|AP027149.1_cds_BDV36772.1_25	DSM21852_00250	NZ_CP019948.1_cds_WP_085770973.1_1371	B1812_RS07100	B1812_07125
lcl|AP027149.1_cds_BDV36773.1_26	DSM21852_00260	NZ_CP019948.1_cds_WP_085773566.1_1372	B1812_RS07105	B1812_07130
lcl|AP027149.1_cds_BDV36774.1_27	DSM21852_00270	NZ_CP019948.1_cds_WP_085770974.1_1373	B1812_RS07110	B1812_07135
lcl|AP027149.1_cds_BDV36775.1_28	DSM21852_00280	NZ_CP019948.1_cds_WP_085770975.1_1374	B1812_RS07115	B1812_07140
lcl|AP027149.1_cds_BDV36776.1_29	DSM21852_00290	NZ_CP019948.1_cds_WP_085770976.1_1375	B1812_RS07120	B1812_07145
lcl|AP027149.1_cds_BDV36777.1_30	DSM21852_00300	NZ_CP019948.1_cds_WP_085770977.1_1376	B1812_RS07125	B1812_07150
lcl|AP027149.1_cds_BDV36778.1_31	DSM21852_00310	NZ_CP019948.1_cds_WP_085770977.1_1376	B1812_RS07125	B1812_07150
lcl|AP027149.1_cds_BDV36779.1_32	DSM21852_00320	NZ_CP019948.1_cds_WP_085770978.1_1377	B1812_RS07130	B1812_07155
lcl|AP027149.1_cds_BDV36780.1_33	DSM21852_00330	NZ_CP019948.1_cds_WP_085770979.1_1378	B1812_RS07135	B1812_07160
lcl|AP027149.1_cds_BDV36781.1_34	DSM21852_00340	NZ_CP019948.1_cds_WP_085770980.1_1380	B1812_RS07140	B1812_07165
lcl|AP027149.1_cds_BDV36782.1_35	DSM21852_00350	NZ_CP019948.1_cds_WP_245300116.1_1381	B1812_RS07145	B1812_07170
lcl|AP027149.1_cds_BDV36783.1_36	DSM21852_00360	NZ_CP019948.1_cds_WP_085770981.1_1382	B1812_RS07150	B1812_07175
lcl|AP027149.1_cds_BDV36784.1_37	DSM21852_00370	NZ_CP019948.1_cds_WP_085770982.1_1383	B1812_RS07155	B1812_07180
lcl|AP027149.1_cds_BDV36785.1_38	DSM21852_00380	NZ_CP019948.1_cds_WP_085770983.1_1384	B1812_RS07160	B1812_07185
lcl|AP027149.1_cds_BDV36786.1_39	DSM21852_00390	NZ_CP019948.1_cds_WP_085770984.1_1385	B1812_RS07165	B1812_07190
lcl|AP027149.1_cds_BDV36787.1_40	DSM21852_00400	NZ_CP019948.1_cds_WP_158658647.1_1386	B1812_RS07170	B1812_07195
lcl|AP027149.1_cds_BDV36788.1_41	DSM21852_00410	NZ_CP019948.1_cds_WP_085770986.1_1387	B1812_RS07175	
lcl|AP027149.1_cds_BDV36789.1_42	DSM21852_00420	NZ_CP019948.1_cds_WP_085770987.1_1388	B1812_RS07180	B1812_07205
lcl|AP027149.1_cds_BDV36790.1_43	DSM21852_00430	NZ_CP019948.1_cds_WP_085773520.1_940	B1812_RS04815	B1812_04840
lcl|AP027149.1_cds_BDV36791.1_44	DSM21852_00440	NZ_CP019948.1_cds_WP_085770989.1_1389	B1812_RS07190	B1812_07215
lcl|AP027149.1_cds_BDV36792.1_45	DSM21852_00450	NZ_CP019948.1_cds_WP_085773568.1_1390	B1812_RS07195	B1812_07220
lcl|AP027149.1_cds_BDV36793.1_46	DSM21852_00460	NZ_CP019948.1_cds_WP_085770990.1_1391	B1812_RS07200	B1812_07225
lcl|AP027149.1_cds_BDV36794.1_47	DSM21852_00470	NZ_CP019948.1_cds_WP_085770991.1_1392	B1812_RS07205	B1812_07230
lcl|AP027149.1_cds_BDV36795.1_48	DSM21852_00480	NZ_CP019948.1_cds_WP_085770992.1_1393	B1812_RS07210	B1812_07235
lcl|AP027149.1_cds_BDV36796.1_49	DSM21852_00490	NZ_CP019948.1_cds_WP_245300118.1_1394	B1812_RS07215	B1812_07240
lcl|AP027149.1_cds_BDV36797.1_50	DSM21852_00500	NZ_CP019948.1_cds_WP_085770994.1_1395	B1812_RS07220	B1812_07245
lcl|AP027149.1_cds_BDV36798.1_51	DSM21852_00510	NZ_CP019948.1_cds_WP_085773569.1_1396	B1812_RS07225	B1812_07250
lcl|AP027149.1_cds_BDV36799.1_52	DSM21852_00520	NZ_CP019948.1_cds_WP_199769040.1_1397	B1812_RS07230	B1812_07255
lcl|AP027149.1_cds_BDV36800.1_53	DSM21852_00530	NZ_CP019948.1_cds_WP_085770995.1_1398	B1812_RS07235	B1812_07260
lcl|AP027149.1_cds_BDV36801.1_54	DSM21852_00540	NZ_CP019948.1_cds_WP_085773571.1_1399	B1812_RS07240	B1812_07265
lcl|AP027149.1_cds_BDV36801.1_54	DSM21852_00540	NZ_CP019948.1_cds_WP_085770996.1_1400	B1812_RS07245	B1812_07270
